place_id,industry_name,category,latitude,longitude,address,city,state,country,source
del-anchor-0001,Badarpur Thermal Power Station (NTPC),power,28.5032,77.3068,"Badarpur, Mathura Road, South Delhi - 110044, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0002,Pragati Combined Cycle Power Station (IPGCL),power,28.6186,77.2514,"Pragati Power Station, IP Estate, New Delhi - 110002, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0003,Indraprastha Power Station (IPGCL),power,28.6253,77.2536,"IP Estate, Ring Road, New Delhi - 110002, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0004,Timarpur-Okhla Waste-to-Energy Plant (JITF),power,28.5372,77.2844,"Old NDMC Compost Plant, Okhla, New Delhi - 110025, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0005,Ghazipur Waste-to-Energy Plant (EDMC),power,28.6259,77.3325,"Ghazipur Landfill & WTE, East Delhi - 110096, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0006,Narela-Bawana Waste to Energy Facility (Ramky),power,28.8041,77.0652,"Sector 5, DSIIDC Bawana Industrial Area, North West Delhi - 110039, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0007,Tehkhand Waste-to-Energy Plant (SDMC),power,28.512,77.292,"Tehkhand, Okhla Phase-I Extn, South Delhi - 110020, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0008,NTPC Gas Turbine Power Station,power,28.5085,77.312,"Mathura Road, Badarpur, South Delhi - 110044, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0009,Rithala Combined Cycle Power Plant (NDPL),power,28.7235,77.1082,"Sector 11, Rohini / Rithala, North West Delhi - 110085, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-anchor-0010,Bawana Gas Based Power Station (PPCL 1500MW),power,28.7985,77.0423,"Sector 1, Bawana Industrial Area, North West Delhi - 110039, Delhi",Delhi,Delhi,India,Delhi Power & WTE Environmental Registry
del-fac-00011,Bawana Industrial Area Phase-I - Plastics & Polymers Unit #1,plastic,28.78701,77.03451,"Plot 375, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110074, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00012,Bawana Industrial Area Phase-I - Speciality Chemicals Unit #2,chemical,28.79199,77.04111,"Plot 341, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110050, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00013,Bawana Industrial Area Phase-I - Rubber Moulding Unit #3,plastic,28.79062,77.03608,"Plot 316, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110051, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00014,Bawana Industrial Area Phase-I - Industrial Tooling & Dies Unit #4,manufacturing,28.80702,77.04458,"Plot 374, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110014, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00015,Bawana Industrial Area Phase-I - Paint & Resin Formulation Unit #5,chemical,28.78253,77.05307,"Plot 67, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110065, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00016,Bawana Industrial Area Phase-I - PVC Pipe Extrusion Unit #6,plastic,28.79484,77.03393,"Plot 414, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110052, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00017,Bawana Industrial Area Phase-I - Electroplating Unit #7,electroplating,28.8057,77.02357,"Plot 19, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110046, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00018,Bawana Industrial Area Phase-I - Metal Finishing Unit #8,metal,28.78689,77.03717,"Plot 176, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110041, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00019,Bawana Industrial Area Phase-I - Hardware & Fasteners Unit #9,manufacturing,28.78627,77.01932,"Plot 469, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110078, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00020,Bawana Industrial Area Phase-I - Plastics & Polymers Unit #10,plastic,28.79771,77.0534,"Plot 69, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110082, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
del-fac-00021,Bawana Industrial Area Phase-I - Speciality Chemicals Unit #11,chemical,28.78123,77.04221,"Plot 45, Bawana Industrial Area Phase-I (Sectors 1 to 5), Delhi - 110010, Delhi, India",Delhi,Delhi,India,Delhi DPCC/CPCB Industrial Registry Master
